year,keyword_group,total_hits,sections_with_hits,sections_total,term_hits_json
2023,digitalisering,212,5,7,"{""digital"": 106, ""digitalisering"": 9, ""e-hälsa"": 10, ""teknik"": 52, ""välfärdsteknik"": 35}"
2023,jamlikhet,74,6,7,"{""jämlik"": 14, ""minoritet"": 16, ""ojämlik"": 6, ""tillgång"": 35, ""utsatt"": 3}"
2023,kontinuitet_samordning,28,5,7,"{""kontinuitet"": 20, ""sammanhållen"": 4, ""samordning"": 4}"
2023,personal_kompetens,232,6,7,"{""bemanning"": 5, ""kompetens"": 41, ""personal"": 107, ""sjuksköterska"": 2, ""undersköterska"": 2, ""utbildning"": 75}"
2023,prevention_rehabilitering,33,5,7,"{""funktionsförmåga"": 5, ""förebyggande"": 17, ""prevention"": 7, ""rehabilitering"": 4}"
2023,trygghet_sakerhet,153,6,7,"{""avvikelse"": 2, ""patientsäkerhet"": 28, ""risk"": 66, ""säkerhet"": 33, ""trygghet"": 24}"
2024,anhoriga,17,5,7,"{""anhörig"": 4, ""familj"": 1, ""närstående"": 12}"
2024,delaktighet,4,3,7,"{""delaktighet"": 3, ""personcentrerad"": 1}"
2024,digitalisering,186,3,7,"{""digital"": 75, ""digitalisering"": 3, ""e-hälsa"": 10, ""teknik"": 65, ""välfärdsteknik"": 33}"
2024,jamlikhet,71,4,7,"{""jämlik"": 8, ""minoritet"": 36, ""ojämlik"": 1, ""tillgång"": 21, ""utsatt"": 5}"
2024,kontinuitet_samordning,15,3,7,"{""kontinuitet"": 12, ""sammanhållen"": 1, ""samordning"": 2}"
2024,personal_kompetens,278,6,7,"{""bemanning"": 3, ""kompetens"": 27, ""personal"": 147, ""sjuksköterska"": 13, ""undersköterska"": 7, ""utbildning"": 81}"
2024,prevention_rehabilitering,30,4,7,"{""förebyggande"": 8, ""prevention"": 6, ""rehabilitering"": 16}"
2024,trygghet_sakerhet,149,6,7,"{""avvikelse"": 1, ""patientsäkerhet"": 15, ""risk"": 62, ""säkerhet"": 17, ""trygghet"": 54}"
2025,anhoriga,19,11,16,"{""anhörig"": 2, ""familj"": 4, ""närstående"": 13}"
2025,delaktighet,17,6,16,"{""delaktighet"": 9, ""individanpassad"": 6, ""personcentrerad"": 1, ""självbestämmande"": 1}"
2025,digitalisering,171,8,16,"{""digital"": 76, ""digitalisering"": 12, ""e-hälsa"": 5, ""teknik"": 57, ""välfärdsteknik"": 21}"
2025,jamlikhet,84,12,16,"{""jämlik"": 9, ""minoritet"": 15, ""ojämlik"": 2, ""tillgång"": 49, ""utsatt"": 9}"
2025,kontinuitet_samordning,56,8,16,"{""fast omsorgskontakt"": 18, ""kontinuitet"": 29, ""samordning"": 9}"
2025,personal_kompetens,255,13,16,"{""bemanning"": 6, ""kompetens"": 42, ""personal"": 173, ""sjuksköterska"": 6, ""undersköterska"": 3, ""utbildning"": 25}"
2025,prevention_rehabilitering,54,9,16,"{""funktionsförmåga"": 2, ""förebyggande"": 39, ""prevention"": 7, ""rehabilitering"": 6}"
2025,trygghet_sakerhet,205,16,16,"{""patientsäkerhet"": 36, ""risk"": 103, ""säkerhet"": 40, ""trygghet"": 26}"
