curated_chunk_id,curated_section_id,year,chunk_index,title,theme,source_type,original_start_pdf_page,original_end_pdf_page,word_count
CUR2008_S010_C051,CUR2008_S010,2008,51,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,980
CUR2008_S010_C052,CUR2008_S010,2008,52,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,729
CUR2008_S010_C053,CUR2008_S010,2008,53,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,628
CUR2008_S010_C054,CUR2008_S010,2008,54,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,992
CUR2008_S010_C055,CUR2008_S010,2008,55,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,896
CUR2008_S010_C056,CUR2008_S010,2008,56,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,509
CUR2008_S010_C057,CUR2008_S010,2008,57,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,888
CUR2008_S010_C058,CUR2008_S010,2008,58,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,989
CUR2008_S010_C059,CUR2008_S010,2008,59,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,588
CUR2008_S010_C060,CUR2008_S010,2008,60,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,726
CUR2008_S010_C061,CUR2008_S010,2008,61,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,988
CUR2008_S010_C062,CUR2008_S010,2008,62,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,683
CUR2008_S010_C063,CUR2008_S010,2008,63,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,653
CUR2008_S010_C064,CUR2008_S010,2008,64,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,994
CUR2008_S010_C065,CUR2008_S010,2008,65,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,882
CUR2008_S010_C066,CUR2008_S010,2008,66,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,674
CUR2008_S010_C067,CUR2008_S010,2008,67,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,853
CUR2008_S010_C068,CUR2008_S010,2008,68,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,868
CUR2008_S010_C069,CUR2008_S010,2008,69,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,880
CUR2008_S010_C070,CUR2008_S010,2008,70,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,857
CUR2008_S010_C071,CUR2008_S010,2008,71,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,858
CUR2008_S010_C072,CUR2008_S010,2008,72,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,874
CUR2008_S010_C073,CUR2008_S010,2008,73,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,854
CUR2008_S010_C074,CUR2008_S010,2008,74,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,854
CUR2008_S010_C075,CUR2008_S010,2008,75,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,883
CUR2008_S010_C076,CUR2008_S010,2008,76,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,876
CUR2008_S010_C077,CUR2008_S010,2008,77,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,849
CUR2008_S010_C078,CUR2008_S010,2008,78,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,866
CUR2008_S010_C079,CUR2008_S010,2008,79,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,871
CUR2008_S010_C080,CUR2008_S010,2008,80,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,852
CUR2008_S010_C081,CUR2008_S010,2008,81,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,867
CUR2008_S010_C082,CUR2008_S010,2008,82,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,883
CUR2008_S010_C083,CUR2008_S010,2008,83,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,860
CUR2008_S010_C084,CUR2008_S010,2008,84,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,855
CUR2008_S010_C085,CUR2008_S010,2008,85,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,874
CUR2008_S010_C086,CUR2008_S010,2008,86,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,868
CUR2008_S010_C087,CUR2008_S010,2008,87,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,853
CUR2008_S010_C088,CUR2008_S010,2008,88,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,884
CUR2008_S010_C089,CUR2008_S010,2008,89,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,882
CUR2008_S010_C090,CUR2008_S010,2008,90,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,845
CUR2008_S010_C091,CUR2008_S010,2008,91,Förebyggande arbete,ovrigt,legacy_title_located_in_original_report,48,156,750
CUR2009_S001_C001,CUR2009_S001,2009,1,Att möta effektivitet och produktivitet,ovrigt,legacy_title_located_in_original_report,7,7,220
CUR2009_S002_C001,CUR2009_S002,2009,1,Resursindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,7,14,872
CUR2009_S002_C002,CUR2009_S002,2009,2,Resursindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,7,14,871
CUR2009_S002_C003,CUR2009_S002,2009,3,Resursindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,7,14,866
CUR2009_S002_C004,CUR2009_S002,2009,4,Resursindikatorer,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,7,14,168
CUR2009_S003_C001,CUR2009_S003,2009,1,Kommunens roll och ansvar för äldreomsorg,ovrigt,legacy_title_located_in_original_report,15,17,597
CUR2009_S004_C001,CUR2009_S004,2009,1,Svensk vård och omsorg om äldre i ett europeiskt perspektiv,ovrigt,legacy_title_located_in_original_report,18,22,873
CUR2009_S004_C002,CUR2009_S004,2009,2,Svensk vård och omsorg om äldre i ett europeiskt perspektiv,ovrigt,legacy_title_located_in_original_report,18,22,391
