curated_section_id,year,section_index,title,theme,source_type,semantic_source_file,original_report_file,original_start_pdf_page,original_end_pdf_page,locate_method,word_count,text_path
CUR2014_S001,2014,1,Tolkning och analys av resultat (jmf. aktuellt),metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2014-Tolkning och analys av resultat (jmf. aktuellt).pdf,source/2014-1-4.pdf,7,16,token_overlap_3_of_4,4094,data/corpus_2026/texts/curated_sections/2014/CUR2014_S001_tolkning-och-analys-av-resultat-jmf-aktuellt.txt
CUR2014_S002,2014,2,Äldres livssituation och hälsa,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2014-Äldres livssituation och hälsa.pdf,source/2014-1-4.pdf,17,20,exact_near_page_start,1900,data/corpus_2026/texts/curated_sections/2014/CUR2014_S002_aldres-livssituation-och-halsa.txt
CUR2014_S003,2014,3,Sammanhållen vård och omsorg,sammanhallen_vard_och_samverkan,legacy_title_located_in_original_report,source/Data_split/2014-Sammanhållen vård och omsorg.pdf,source/2014-1-4.pdf,21,40,exact_near_page_start,11362,data/corpus_2026/texts/curated_sections/2014/CUR2014_S003_sammanhallen-vard-och-omsorg.txt
CUR2014_S004,2014,4,Omsorg och stöd i ordinärt och särskilt boende,omsorgsinsatser_och_boende,legacy_title_located_in_original_report,source/Data_split/2014-Omsorg och stöd i ordinärt och särskilt boende.pdf,source/2014-1-4.pdf,41,56,exact_near_page_start,9040,data/corpus_2026/texts/curated_sections/2014/CUR2014_S004_omsorg-och-stod-i-ordinart-och-sarskilt-boende.txt
CUR2014_S005,2014,5,Indikatorer i Öppna jämförelser,metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2014-Indikatorer i Öppna jämförelser.pdf,source/2014-1-4.pdf,57,154,exact_near_page_start,52159,data/corpus_2026/texts/curated_sections/2014/CUR2014_S005_indikatorer-i-oppna-jamforelser.txt
CUR2015_S001,2015,1,Tolkning och analys av resultat (jmf. aktuellt),metod_indikatorer_och_datakallor,legacy_title_located_in_original_report,source/Data_split/2015-Tolkning och analys av resultat (jmf. aktuellt).pdf,source/2015-3-1.pdf,7,7,token_overlap_3_of_4,200,data/corpus_2026/texts/curated_sections/2015/CUR2015_S001_tolkning-och-analys-av-resultat-jmf-aktuellt.txt
CUR2015_S002,2015,2,Sammanhållen vård och omsorg,sammanhallen_vard_och_samverkan,legacy_title_located_in_original_report,source/Data_split/2015-Sammanhållen vård och omsorg.pdf,source/2015-3-1.pdf,8,8,exact_near_page_start,303,data/corpus_2026/texts/curated_sections/2015/CUR2015_S002_sammanhallen-vard-och-omsorg.txt
CUR2015_S003,2015,3,Vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2015-Vård och omsorg.pdf,source/2015-3-1.pdf,8,166,exact_near_page_start,68888,data/corpus_2026/texts/curated_sections/2015/CUR2015_S003_vard-och-omsorg.txt
CUR2016_S001,2016,1,Aktuell utveckling,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2016-Aktuell utveckling.pdf,source/2016-2-29.pdf,7,19,exact_near_page_start,3319,data/corpus_2026/texts/curated_sections/2016/CUR2016_S001_aktuell-utveckling.txt
CUR2016_S002,2016,2,Resurser för vård och omsorg,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2016-Resurser för vård och omsorg.pdf,source/2016-2-29.pdf,20,26,exact_near_page_start,2190,data/corpus_2026/texts/curated_sections/2016/CUR2016_S002_resurser-for-vard-och-omsorg.txt
CUR2016_S003,2016,3,Kunskapsbaserad vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2016-Kunskapsbaserad vård och omsorg.pdf,source/2016-2-29.pdf,27,35,exact_near_page_start,2743,data/corpus_2026/texts/curated_sections/2016/CUR2016_S003_kunskapsbaserad-vard-och-omsorg.txt
CUR2016_S004,2016,4,Säker vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2016-Säker vård och omsorg.pdf,source/2016-2-29.pdf,36,43,exact_near_page_start,2586,data/corpus_2026/texts/curated_sections/2016/CUR2016_S004_saker-vard-och-omsorg.txt
CUR2016_S005,2016,5,Individanpassas vård och omsprg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2016-Individanpassas vård och omsprg.pdf,source/2016-2-29.pdf,44,48,manual_corrected_title,2019,data/corpus_2026/texts/curated_sections/2016/CUR2016_S005_individanpassas-vard-och-omsprg.txt
CUR2016_S006,2016,6,Jämlik vård och omsorg,jamlikhet_och_minoritetsperspektiv,legacy_title_located_in_original_report,source/Data_split/2016-Jämlik vård och omsorg.pdf,source/2016-2-29.pdf,49,52,exact_near_page_start,1166,data/corpus_2026/texts/curated_sections/2016/CUR2016_S006_jamlik-vard-och-omsorg.txt
CUR2016_S007,2016,7,Tillgänglig vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2016-Tillgänglig vård och omsorg.pdf,source/2016-2-29.pdf,53,60,exact_near_page_start,2093,data/corpus_2026/texts/curated_sections/2016/CUR2016_S007_tillganglig-vard-och-omsorg.txt
CUR2017_S001,2017,1,Aktuell utveckling,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2017-Aktuell utveckling.pdf,source/2017-2-2.pdf,10,26,exact_near_page_start,5690,data/corpus_2026/texts/curated_sections/2017/CUR2017_S001_aktuell-utveckling.txt
CUR2017_S002,2017,2,Resurser för vård och omsorg,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2017-Resurser för vård och omsorg.pdf,source/2017-2-2.pdf,27,33,exact_near_page_start,2864,data/corpus_2026/texts/curated_sections/2017/CUR2017_S002_resurser-for-vard-och-omsorg.txt
CUR2017_S003,2017,3,Kunskapsbaserad vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2017-Kunskapsbaserad vård och omsorg.pdf,source/2017-2-2.pdf,34,45,exact_near_page_start,4524,data/corpus_2026/texts/curated_sections/2017/CUR2017_S003_kunskapsbaserad-vard-och-omsorg.txt
CUR2017_S004,2017,4,Säker vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2017-Säker vård och omsorg.pdf,source/2017-2-2.pdf,46,56,exact_near_page_start,3836,data/corpus_2026/texts/curated_sections/2017/CUR2017_S004_saker-vard-och-omsorg.txt
CUR2017_S005,2017,5,Jämlik vård och omsorg,jamlikhet_och_minoritetsperspektiv,legacy_title_located_in_original_report,source/Data_split/2017-Jämlik vård och omsorg.pdf,source/2017-2-2.pdf,57,61,exact_near_page_start,1815,data/corpus_2026/texts/curated_sections/2017/CUR2017_S005_jamlik-vard-och-omsorg.txt
CUR2017_S006,2017,6,Tillgänglig vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2017-Tillgänglig vård och omsorg.pdf,source/2017-2-2.pdf,62,73,exact_near_page_start,4668,data/corpus_2026/texts/curated_sections/2017/CUR2017_S006_tillganglig-vard-och-omsorg.txt
CUR2018_S001,2018,1,Säker vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/txt/2018-Säker vård och omsorg.docx,source/2018-2-7.pdf,8,12,exact_near_page_start,1533,data/corpus_2026/texts/curated_sections/2018/CUR2018_S001_saker-vard-och-omsorg.txt
CUR2018_S002,2018,2,Aktuell utveckling,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2018-Aktuell utveckling.pdf,source/2018-2-7.pdf,13,43,exact_near_page_start,11546,data/corpus_2026/texts/curated_sections/2018/CUR2018_S002_aktuell-utveckling.txt
CUR2018_S003,2018,3,Resurser för vård och omsorg,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2018-Resurser för vård och omsorg.pdf,source/2018-2-7.pdf,44,79,exact_near_page_start,12840,data/corpus_2026/texts/curated_sections/2018/CUR2018_S003_resurser-for-vard-och-omsorg.txt
CUR2018_S004,2018,4,Jämlik vård och omsorg,jamlikhet_och_minoritetsperspektiv,legacy_title_located_in_original_report,source/Data_split/2018-Jämlik vård och omsorg.pdf,source/2018-2-7.pdf,80,86,exact_near_page_start,2695,data/corpus_2026/texts/curated_sections/2018/CUR2018_S004_jamlik-vard-och-omsorg.txt
CUR2018_S005,2018,5,Tillgänglig vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/txt/2018-Tillgänglig vård och omsorg.docx,source/2018-2-7.pdf,87,98,exact_near_page_start,3283,data/corpus_2026/texts/curated_sections/2018/CUR2018_S005_tillganglig-vard-och-omsorg.txt
CUR2019_S001,2019,1,Aktuell utveckling,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2019-Aktuell utveckling.pdf,source/2019-3-18.pdf,7,7,exact_near_page_start,205,data/corpus_2026/texts/curated_sections/2019/CUR2019_S001_aktuell-utveckling.txt
CUR2019_S002,2019,2,Jämlik vård och omsorg,jamlikhet_och_minoritetsperspektiv,legacy_title_located_in_original_report,source/Data_split/2019-Jämlik vård och omsorg.pdf,source/2019-3-18.pdf,8,8,exact_near_page_start,129,data/corpus_2026/texts/curated_sections/2019/CUR2019_S002_jamlik-vard-och-omsorg.txt
CUR2019_S003,2019,3,Säker vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2019-Säker vård och omsorg.pdf,source/2019-3-18.pdf,8,44,exact_near_page_start,12693,data/corpus_2026/texts/curated_sections/2019/CUR2019_S003_saker-vard-och-omsorg.txt
CUR2019_S004,2019,4,Resurser för vård och omsorg,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2019-Resurser för vård och omsorg.pdf,source/2019-3-18.pdf,45,58,exact_near_page_start,5004,data/corpus_2026/texts/curated_sections/2019/CUR2019_S004_resurser-for-vard-och-omsorg.txt
CUR2019_S005,2019,5,Kunskapsbaserad vård,ovrigt,legacy_title_located_in_original_report,source/Data_split/2019-Kunskapsbaserad vård.pdf,source/2019-3-18.pdf,59,97,exact_near_page_start,14049,data/corpus_2026/texts/curated_sections/2019/CUR2019_S005_kunskapsbaserad-vard.txt
CUR2019_S006,2019,6,Tillgänglig vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2019-Tillgänglig vård och omsorg.pdf,source/2019-3-18.pdf,98,116,exact_near_page_start,6444,data/corpus_2026/texts/curated_sections/2019/CUR2019_S006_tillganglig-vard-och-omsorg.txt
CUR2020_S001,2020,1,Aktuell utveckling,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2020-Aktuell utveckling.pdf,source/2020-3-6603.pdf,7,7,exact_near_page_start,187,data/corpus_2026/texts/curated_sections/2020/CUR2020_S001_aktuell-utveckling.txt
CUR2020_S002,2020,2,Resurser för vård och omsorg,personal_kompetens_och_resurser,legacy_title_located_in_original_report,source/Data_split/2020-Resurser för vård och omsorg.pdf,source/2020-3-6603.pdf,7,7,exact_near_page_start,187,data/corpus_2026/texts/curated_sections/2020/CUR2020_S002_resurser-for-vard-och-omsorg.txt
CUR2020_S003,2020,3,Jämlik vård och omsorg,jamlikhet_och_minoritetsperspektiv,legacy_title_located_in_original_report,source/Data_split/2020-Jämlik vård och omsorg.pdf,source/2020-3-6603.pdf,8,8,exact_near_page_start,107,data/corpus_2026/texts/curated_sections/2020/CUR2020_S003_jamlik-vard-och-omsorg.txt
CUR2020_S004,2020,4,Tillgänglig vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2020-Tillgänglig vård och omsorg.pdf,source/2020-3-6603.pdf,8,39,exact_near_page_start,11764,data/corpus_2026/texts/curated_sections/2020/CUR2020_S004_tillganglig-vard-och-omsorg.txt
CUR2020_S005,2020,5,Kunskapsbaserad vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2020-Kunskapsbaserad vård och omsorg.pdf,source/2020-3-6603.pdf,40,66,exact_near_page_start,9422,data/corpus_2026/texts/curated_sections/2020/CUR2020_S005_kunskapsbaserad-vard-och-omsorg.txt
CUR2020_S006,2020,6,Säker vård och omsorg,ovrigt,legacy_title_located_in_original_report,source/Data_split/2020-Säker vård och omsorg.pdf,source/2020-3-6603.pdf,67,126,exact_near_page_start,21680,data/corpus_2026/texts/curated_sections/2020/CUR2020_S006_saker-vard-och-omsorg.txt
CUR2021_S001,2021,1,Aktuell utveckling,demografi_och_aktuell_utveckling,legacy_title_located_in_original_report,source/Data_split/2021-Aktuell utveckling.pdf,source/2021-3-7249.pdf,7,7,exact_near_page_start,187,data/corpus_2026/texts/curated_sections/2021/CUR2021_S001_aktuell-utveckling.txt
