report_id,year,source_file,pdf_page,word_count
R2008,2008,D:\Data\2008.pdf,139,1231
R2008,2008,D:\Data\2008.pdf,140,1201
R2008,2008,D:\Data\2008.pdf,141,1197
R2008,2008,D:\Data\2008.pdf,142,1249
R2008,2008,D:\Data\2008.pdf,143,1246
R2008,2008,D:\Data\2008.pdf,144,1268
R2008,2008,D:\Data\2008.pdf,145,1264
R2008,2008,D:\Data\2008.pdf,146,1233
R2008,2008,D:\Data\2008.pdf,147,1229
R2008,2008,D:\Data\2008.pdf,148,1236
R2008,2008,D:\Data\2008.pdf,149,1232
R2008,2008,D:\Data\2008.pdf,150,1263
R2008,2008,D:\Data\2008.pdf,151,1259
R2008,2008,D:\Data\2008.pdf,152,462
R2008,2008,D:\Data\2008.pdf,153,459
R2008,2008,D:\Data\2008.pdf,154,0
R2008,2008,D:\Data\2008.pdf,155,0
R2008,2008,D:\Data\2008.pdf,156,187
R2009,2009,D:\Data\2009.pdf,1,246
R2009,2009,D:\Data\2009.pdf,2,149
R2009,2009,D:\Data\2009.pdf,3,20
R2009,2009,D:\Data\2009.pdf,4,12
R2009,2009,D:\Data\2009.pdf,5,273
R2009,2009,D:\Data\2009.pdf,6,219
R2009,2009,D:\Data\2009.pdf,7,218
R2009,2009,D:\Data\2009.pdf,8,189
R2009,2009,D:\Data\2009.pdf,9,368
R2009,2009,D:\Data\2009.pdf,10,513
R2009,2009,D:\Data\2009.pdf,11,215
R2009,2009,D:\Data\2009.pdf,12,205
R2009,2009,D:\Data\2009.pdf,13,421
R2009,2009,D:\Data\2009.pdf,14,324
R2009,2009,D:\Data\2009.pdf,15,105
R2009,2009,D:\Data\2009.pdf,16,351
R2009,2009,D:\Data\2009.pdf,17,135
R2009,2009,D:\Data\2009.pdf,18,159
R2009,2009,D:\Data\2009.pdf,19,366
R2009,2009,D:\Data\2009.pdf,20,131
R2009,2009,D:\Data\2009.pdf,21,333
R2009,2009,D:\Data\2009.pdf,22,164
R2009,2009,D:\Data\2009.pdf,23,190
R2009,2009,D:\Data\2009.pdf,24,342
R2009,2009,D:\Data\2009.pdf,25,184
R2009,2009,D:\Data\2009.pdf,26,329
R2009,2009,D:\Data\2009.pdf,27,58
R2009,2009,D:\Data\2009.pdf,28,258
R2009,2009,D:\Data\2009.pdf,29,303
R2009,2009,D:\Data\2009.pdf,30,59
R2009,2009,D:\Data\2009.pdf,31,361
R2009,2009,D:\Data\2009.pdf,32,289
R2009,2009,D:\Data\2009.pdf,33,68
R2009,2009,D:\Data\2009.pdf,34,297
R2009,2009,D:\Data\2009.pdf,35,66
R2009,2009,D:\Data\2009.pdf,36,284
R2009,2009,D:\Data\2009.pdf,37,70
R2009,2009,D:\Data\2009.pdf,38,266
R2009,2009,D:\Data\2009.pdf,39,66
R2009,2009,D:\Data\2009.pdf,40,243
R2009,2009,D:\Data\2009.pdf,41,296
R2009,2009,D:\Data\2009.pdf,42,67
R2009,2009,D:\Data\2009.pdf,43,305
R2009,2009,D:\Data\2009.pdf,44,64
R2009,2009,D:\Data\2009.pdf,45,269
R2009,2009,D:\Data\2009.pdf,46,71
R2009,2009,D:\Data\2009.pdf,47,248
R2009,2009,D:\Data\2009.pdf,48,66
R2009,2009,D:\Data\2009.pdf,49,328
R2009,2009,D:\Data\2009.pdf,50,401
R2009,2009,D:\Data\2009.pdf,51,195
